排名,词语,出现次数
1,discourse,47
2,chinese,42
3,western,31
4,thought,29
5,quote,26
6,context,25
7,cultural,24
8,tradition,24
9,public,22
10,statement,21
11,social,20
12,authority,20
13,legitimacy,19
14,structure,19
15,press,19
16,structures,17
17,different,17
18,media,16
19,phenomenon,16
20,individual,16
21,bearing,14
22,classical,14
23,already,14
24,analysis,13
25,psychological,13
26,university,13
27,celebrity,12
28,exegetical,12
29,position,12
30,political,11
31,logic,11
32,resonance,11
33,true,11
34,ification,11
35,said,11
36,quotations,10
37,contexts,10
38,mechanism,10
39,sphere,9
40,framework,9
41,emperor,9
42,two,9
43,deep,9
44,dissemination,8
45,paper,8
46,worship,8
47,argumentation,8
48,reception,8
49,people,8
50,new,8
